Author,"Verne, Jules, 1828-1905"
Uniform Title,Cinq semaines en ballon. English
Title,"Five Weeks in a BalloonOr, Journeys and Discoveries in Africa by Three Englishmen"
Imprint,"New York :  Appleton & Co.,  1869"
Note,"Publisher's note: ""Compiled in French by Jules Verne, from the original notes of Dr. Ferguson; and done into English by ""William Lackland.""Dr. Ferguson is the fictional protagonist. William Lackland is the pseudonym of the anonymous translator, used by the New York publisher for this 1869 edition, as archived at the Smithsonian Institution Libraries, cf.: http://www.sil.si.edu/imagegalaxy/imagegalaxy_imageDetail.cfm?id_image=7666"
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Africa -- Fiction, Adventure stories, Travel -- Fiction, Balloons -- Fiction"
Category,Text
EBook-No.,3526
Release Date,"Nov 1, 2002"
Copyright Status,Public domain in the USA.
Downloads,231 downloads in the last 30 days.
Price,$0.00
