Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,A Wodehouse Miscellany: Articles & Stories
Contents,"Articles: Some aspects of game-captaincy. An unfinished collection. The new advertising. The secret pleasures of Reginald. My battle with drink. In defense of astigmatism. Photographers and me. A plea for indoor golf. The alarming spread of poetry. My life as a dramatic critic. The agonies of writing a musical comedy: which shows why librettists pick at the coverlet. On the writing of lyrics. The past theatrical season: and the six best perfomances by unstarred actors -- Poems: Damon and Pythias: a romance. The haunted tram -- Stories: When papa swore in Hindustani. Tom, Dick, and Harry. Jeeves takes charge. Disentangling old Duggie."
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Humorous stories, English, Wooster, Bertie (Fictitious character) -- Fiction, Jeeves (Fictitious character) -- Fiction, Valets -- Fiction, England -- Social life and customs -- Fiction"
Category,Text
EBook-No.,8190
Release Date,"May 1, 2005"
Copyright Status,Public domain in the USA.
Downloads,222 downloads in the last 30 days.
Price,$0.00
