Author,"Anstey, F., 1856-1934"
Title,"The Talking Horse, and Other Tales"
Contents,The talking horse -- The good little girl -- A matter of taste -- Don; The story of a greedy dog -- Taken by surprise -- Paleface and redskin -- Shut out -- Tommy's hero -- A canine Ishmael -- Marjory.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,Short stories
Category,Text
EBook-No.,27284
Release Date,"Nov 16, 2008"
Copyright Status,Public domain in the USA.
Downloads,39 downloads in the last 30 days.
Price,$0.00
