Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,Astounding Stories of Super-Science January 1931
Contents,"The Dark Side of Antri / Sewell Peaslee WrightThe Sunken Empire / H. Thompson RichThe Gate to Xoran / Hal K. WellsThe Eye of Allah / Charles Willard DiffinThe Fifth-Dimension Catapult / Murray LeinsterThe Pirate Planet (Part 3 of 4) / Charles Willard Diffin"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,30177
Release Date,"Oct 5, 2009"
Copyright Status,Public domain in the USA.
Downloads,219 downloads in the last 30 days.
Price,$0.00
