Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories, July, 1931"
Contents,The doom from planet 4 / Jack Williamson -- The hands of Aten / H.G. Winter -- The diamond thunderbolt / H. Thompson Rich -- The slave ship from space / A.R. Holmes -- The revolt of the machines /Nat Schachner and Arthur L. Zagat -- The exile of time (conclusion) / Ray Cummings.
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,31168
Release Date,"Feb 3, 2010"
Copyright Status,Public domain in the USA.
Downloads,138 downloads in the last 30 days.
Price,$0.00
