Author,"Matthews, Brander, 1852-1929"
LoC No.,07024695
Title,Tales of Fantasy and Fact
Contents,A primer of imaginary geography -- The kinetoscope of time -- The dream-gown of the Japanese ambassador -- The rival ghosts -- Sixteen years without a birthday -- The twinkling of an eye -- A confidential postscript.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Fantasy fiction, American"
Category,Text
EBook-No.,23678
Release Date,"Dec 2, 2007"
Copyright Status,Public domain in the USA.
Downloads,41 downloads in the last 30 days.
Price,$0.00
