Author,"Norris, Frank, 1870-1902"
Title,A Deal in Wheat and Other Stories of the New and Old West
Note,"Illustrated by Remington, Leyendecker, Hitchcock and Hooper."
Contents,A Deal in Wheat -- The Wife of Chino -- A Bargain with Peg-Leg -- The Passing of Cock-Eye Blacklock -- A Memorandum of Sudden Death -- Two Hearts That Beat as One -- The Dual Personality of Slick Dick Nickerson -- The Ship That Saw a Ghost -- The Ghost in the Crosstrees -- The Riding of Felipe.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,Western stories
Category,Text
EBook-No.,9905
Release Date,"Feb 1, 2006"
Copyright Status,Public domain in the USA.
Downloads,74 downloads in the last 30 days.
Price,$0.00
