Author,"Grey, Zane, 1872-1939"
Title,The Young Pitcher
Language,English
LoC Class,"PZ: Language and Literatures: Juvenile belles lettres, PS: Language and Literatures: American and Canadian literature"
Subject,"College students -- Fiction, Universities and colleges -- Fiction, Baseball -- Fiction, College sports -- Fiction, Baseball players -- Fiction"
Category,Text
EBook-No.,19246
Release Date,"Sep 11, 2006"
Copyright Status,Public domain in the USA.
Downloads,53 downloads in the last 30 days.
Price,$0.00
